"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","layover","pattern_id","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"699041","07:26:00","07:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699043","09:40:00","09:40:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699045","11:56:00","11:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699047","14:11:00","14:11:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699049","16:26:00","16:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699051","18:41:00","18:41:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699053","20:54:00","20:54:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699054","07:10:00","07:10:00","02507","16","101 EmX EUGENE STATION","False","25551","","","","1"
"699056","09:25:00","09:25:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699058","11:40:00","11:40:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699060","13:56:00","13:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699062","16:11:00","16:11:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699064","18:26:00","18:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699066","20:39:00","20:39:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699068","22:53:00","22:53:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699100","08:24:00","08:24:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699102","10:40:00","10:40:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699104","12:56:00","12:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699106","15:11:00","15:11:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699108","17:26:00","17:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699110","19:40:00","19:40:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699112","21:54:00","21:54:00","02507","16","101 EmX EUGENE STATION","False","25554","","","","1"
"699181","07:40:00","07:40:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699183","09:55:00","09:55:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699185","12:11:00","12:11:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699187","14:26:00","14:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699189","16:41:00","16:41:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699191","18:55:00","18:55:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699193","21:09:00","21:09:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699195","23:23:00","23:23:00","02507","16","101 EmX EUGENE STATION","False","25554","","","","1"
"699250","08:39:00","08:39:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699252","10:55:00","10:55:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699254","13:11:00","13:11:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699256","15:26:00","15:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699258","17:41:00","17:41:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699260","19:55:00","19:55:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699262","22:09:00","22:09:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699312","07:56:00","07:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699314","10:10:00","10:10:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699316","12:26:00","12:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699318","14:41:00","14:41:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699320","16:56:00","16:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699322","19:10:00","19:10:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699324","21:24:00","21:24:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699348","08:54:00","08:54:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699350","11:10:00","11:10:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699352","13:26:00","13:26:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699354","15:41:00","15:41:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699356","17:56:00","17:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699358","20:09:00","20:09:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699360","22:24:00","22:24:00","02507","16","101 EmX EUGENE STATION","False","25554","","","","1"
"699362","08:08:00","08:08:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699364","10:25:00","10:25:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699366","12:41:00","12:41:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699368","14:56:00","14:56:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699370","17:11:00","17:11:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
"699372","19:25:00","19:25:00","02507","16","101 EmX EUGENE STATION","False","25555","","","","1"
"699374","21:39:00","21:39:00","02507","28","101 EmX EUGENE STATION","False","25556","","","","1"
